H2O [ml],HClO4 [ml],NH2NH2.HCl [ml],Ce(NO3)3 &Na2MoO4 [ml],crystals
3.583,3.658,5.913,1.846,0
0.176,4.382,3.653,6.789,0
4.65,2.382,2.621,5.347,0
2.349,3.924,4.441,4.286,0
2.244,9.303,1.983,1.47,0
4.231,3.209,3.359,4.201,0
8.177,3.487,3.214,0.122,0
3.647,4.739,0.777,5.837,1
5.329,5.701,2.344,1.626,0
0.759,2.737,4.715,6.789,0
0.719,3.515,0.055,10.711,0
1.31,9.385,0.374,3.931,0
3.185,4.714,5.327,1.775,0
2.835,5.308,1.447,5.41,1
1.339,5.337,5.759,2.565,0
5.356,6.081,3.173,0.39,0
4.898,3.161,6.03,0.911,0
1.19,8.411,4.788,0.611,0
4.995,2.403,3.356,4.246,0
5.697,4.196,4.097,1.01,0
4.606,7.952,2.176,0.266,0
2.428,0.658,4.681,7.233,0
3.27,3.855,4.561,3.314,0
0.102,8.135,4.711,2.052,0
0.548,1.646,9.445,3.361,0
7.78,4.837,1.766,0.617,0
6.193,4.182,3.479,1.147,0
1.318,2.87,3.942,6.87,0
0.579,0.037,7.406,6.978,0
4.498,4.52,2.819,3.163,0
4.552,2.08,4.473,3.895,0
0.589,4.792,4.997,4.623,0
5.16,4.667,0.467,4.707,1
6.399,2.708,4.726,1.166,0
4.771,4.561,2.262,3.407,0
4.375,2.299,1.618,6.707,0
0.015,1.113,5.87,8.002,0
0.605,3.659,7.957,2.779,0
2.098,6.769,2.706,3.427,0
2.961,3.152,3.163,5.724,0
5.205,2.542,3.553,3.7,0
3.973,3.615,4.196,3.216,0
3.853,2.361,4.528,4.258,0
3.461,2.005,4.828,4.706,0
0.971,4.509,4.576,4.944,0
4.401,5.659,1.969,2.971,0
7.892,0.233,2.74,4.135,0
2.405,7.939,1.46,3.196,0
4.862,3.969,5.38,0.789,0
3.647,4.739,0.777,5.837,1
3.614,4.894,0.634,5.857,1
3.648,4.696,0.77,5.885,1
3.678,4.554,0.903,5.865,1
3.677,4.597,0.909,5.817,1
3.708,4.413,1.034,5.845,1
3.707,4.455,1.04,5.797,1
3.738,4.271,1.166,5.825,1
3.739,4.228,1.16,5.873,1
3.645,4.731,0.53,6.093,1
3.589,4.855,0.75,5.806,1
3.674,4.676,0.606,6.043,1
3.647,4.72,0.95,5.683,1
3.928,4.64,0.615,5.817,1
3.932,4.62,0.789,5.659,1
4.212,4.541,0.456,5.791,1
3.774,4.591,0.924,5.711,1
3.702,4.539,0.841,5.918,1
3.572,4.687,0.691,6.05,1
3.627,4.488,0.757,6.128,1
3.642,4.674,0.772,5.913,1
3.635,4.581,0.764,6.019,1
3.638,4.628,0.768,5.966,1
3.641,4.797,0.975,5.586,1
3.697,4.705,0.809,5.789,1
3.619,4.799,0.911,5.672,1
3.614,4.854,1.101,5.431,1
2.891,5.248,1.548,5.313,1
2.861,5.423,1.288,5.428,1
2.804,5.49,1.177,5.53,1
2.776,5.374,1.337,5.513,1
5.119,4.89,0.247,4.744,1
5.063,4.631,0.693,4.613,1
5.021,4.859,0.47,4.65,1
4.964,4.603,0.914,4.52,1
5.005,4.37,1.145,4.48,1
5.017,4.742,0.631,4.609,1
4.919,4.712,0.853,4.516,1
5.026,4.652,0.734,4.588,1
4.973,4.682,0.793,4.552,1
2.481,6.4,1.32,4.799,0
2.032,5.511,2.296,5.161,0
4.582,3.672,2.021,4.724,1
5.55,4.673,1.067,3.71,1
3.211,3.503,1.666,6.62,0
3.789,5.278,1.61,4.323,0
1.885,5.495,0.485,7.135,0
6.246,3.168,0.55,5.037,0
2.849,4.135,2.498,5.518,0
4.317,3.051,1.95,5.682,0
5.09,3.547,1.497,4.865,0
5.457,5.13,1.169,3.244,0
6.151,3.851,0.331,4.667,0
6.814,4.292,0.632,3.263,1
2.65,6.315,0.455,5.581,1
3.461,4.012,2.18,5.347,1
4.701,4.025,2.185,4.089,0
4.437,6.039,0.678,3.846,0
2.918,4.751,0.979,6.351,0
2.541,4.918,1.753,5.788,1
4.077,4.567,1.612,4.744,1
4.119,3.579,0.739,6.563,0
5.658,4.802,0.954,3.586,0
1.943,5.343,1.77,5.944,1
3.738,5.422,0.036,5.803,1
4.456,4.546,1.558,4.439,1
5.95,4.924,0.406,3.721,1
5.605,4.358,0.153,4.884,0
3.465,4.032,1.303,6.2,0
3.995,4.133,1.856,5.017,0
2.323,4.772,2.654,5.251,1
5.452,5.83,0.663,3.054,0
8.056,2.839,2.816,1.289,0
1.511,7.126,0.596,5.767,0
11.9,1.779,0.256,1.065,0
5.462,3.259,1.598,4.681,1
3.272,4.79,0.265,6.673,0
8.263,4.717,1.366,0.654,0
11.55,1.159,2.251,0.04,0
1.642,4.642,2.205,6.511,1
2.137,4.742,2.745,5.376
5.104,2.829,2.267,4.8
4.582,3.672,2.021,4.724
2.257,5.535,1.818,5.39
1.317,5.066,2.579,6.039
5.245,4.352,1.562,3.841
3.051,4.41,1.683,5.856
5.004,3.734,1.662,4.6
4.597,4.152,1.104,5.147
6.194,4.456,0.284,4.066
